,distancia,peso,cod_origem,cod_destino,peso(toneladas),distância(Km)
1918,562,32.1,MS,SP,32.1,562
1919,562,32.1,MS,SP,32.1,562
362,561,2,SP,MG,2,561
1608,560,26,PR,SP,26,560
1886,560,32,PR,SP,32,560
200,554,0.805,RJ,SP,0.805,554
201,554,0.805,RJ,SP,0.805,554
202,554,0.805,RJ,SP,0.805,554
203,554,0.805,RJ,SP,0.805,554
204,554,0.805,RJ,SP,0.805,554
205,554,0.805,RJ,SP,0.805,554
206,554,0.805,RJ,SP,0.805,554
207,554,0.805,RJ,SP,0.805,554
280,554,1.5,SP,MG,1.5,554
565,554,6,MG,SP,6,554
613,553,6.7,MG,MG,6.7,553
1357,553,23,SP,SP,23,553
1719,552,30,SP,PR,30,552
1457,551,25,MG,SP,25,551
800,549,12,MS,MS,12,549
161,545,0.6,MG,SP,0.6,545
228,544,1,PR,SP,1,544
443,544,3,RJ,SP,3,544
663,544,10,RJ,SP,10,544
664,544,10,RJ,SP,10,544
746,544,11.6,SP,SP,11.6,544
1433,542,24.9,PR,SP,24.9,542
1188,541,20,PR,SP,20,541
1458,541,25,RJ,SP,25,541
229,540,1,SP,PR,1,540
952,540,14,PR,SP,14,540
953,540,14,PR,SP,14,540
954,540,14,PR,SP,14,540
955,540,14,PR,SP,14,540
1189,539,20,MG,SP,20,539
1720,538,30,SP,PR,30,538
1190,535,20,PR,PR,20,535
384,533,2.5,MG,SP,2.5,533
385,533,2.5,MG,SP,2.5,533
801,533,12,SC,SC,12,533
802,532,12,RS,SC,12,532
1191,532,20,SP,PR,20,532
33,531,0.1,SP,PR,0.1,531
430,531,2.7,SP,SC,2.7,531
431,531,2.7,SP,SC,2.7,531
1887,531,32,SP,SP,32,531
1888,531,32,SP,SP,32,531
1889,531,32,SP,SP,32,531
71,530,0.21,SP,SP,0.21,530
1392,530,23.5,MG,SP,23.5,530
1393,530,23.5,MG,SP,23.5,530
1394,530,23.5,MG,SP,23.5,530
1395,530,23.5,MG,SP,23.5,530
1459,526,25,RJ,MG,25,526
1460,526,25,RJ,MG,25,526
1461,526,25,RJ,MG,25,526
1462,526,25,RJ,MG,25,526
1463,526,25,RJ,MG,25,526
1464,526,25,RJ,MG,25,526
1465,526,25,RJ,MG,25,526
1466,526,25,RJ,MG,25,526
1467,526,25,RJ,MG,25,526
1468,526,25,RJ,MG,25,526
1469,526,25,RJ,MG,25,526
1470,526,25,RJ,MG,25,526
1471,526,25,RJ,MG,25,526
1472,526,25,RJ,MG,25,526
1473,526,25,RJ,MG,25,526
1721,526,30,RJ,MG,30,526
1722,526,30,RJ,MG,30,526
1723,526,30,RJ,MG,30,526
1724,526,30,RJ,MG,30,526
1725,526,30,RJ,MG,30,526
1726,526,30,RJ,MG,30,526
1727,526,30,RJ,MG,30,526
1728,526,30,RJ,MG,30,526
1729,526,30,RJ,MG,30,526
1730,526,30,RJ,MG,30,526
1731,526,30,RJ,MG,30,526
1732,526,30,RJ,MG,30,526
1733,526,30,RJ,MG,30,526
1734,526,30,RJ,MG,30,526
1735,526,30,RJ,MG,30,526
898,524,13,PR,SP,13,524
899,524,13,PR,SP,13,524
1736,524,30,SP,MS,30,524
803,523,12,SP,PR,12,523
804,523,12,SP,PR,12,523
805,523,12,SP,PR,12,523
956,522,14,RJ,SP,14,522
957,522,14,RJ,SP,14,522
1474,522,25,RJ,SP,25,522
1475,522,25,RJ,SP,25,522
1096,521,18,MG,RJ,18,521
1192,520,20,PR,PR,20,520
1890,520,32,SP,MG,32,520
1891,520,32,SP,MG,32,520
1892,520,32,SP,MG,32,520
181,519,0.75,PR,RS,0.75,519
182,519,0.75,PR,RS,0.75,519
183,519,0.75,PR,RS,0.75,519
184,519,0.75,PR,RS,0.75,519
629,519,7,RS,PR,7,519
958,519,14,SP,SP,14,519
959,519,14,SP,SP,14,519
960,519,14,SP,SP,14,519
1193,519,20,SC,SP,20,519
1737,519,30,SP,PR,30,519
806,518,12,PR,SP,12,518
961,517,14,ES,MG,14,517
962,517,14,ES,MG,14,517
963,517,14,ES,MG,14,517
964,517,14,ES,MG,14,517
1194,517,20,MG,SP,20,517
1476,517,25,ES,MG,25,517
1477,517,25,ES,MG,25,517
1478,517,25,ES,MG,25,517
1195,512,20,SP,PR,20,512
807,511,12,ES,MG,12,511
1196,509,20,PR,PR,20,509
1197,509,20,PR,PR,20,509
1198,509,20,PR,PR,20,509
75,508,0.25,RJ,SP,0.25,508
76,508,0.25,RJ,SP,0.25,508
77,508,0.25,RJ,SP,0.25,508
1199,507,20,PR,PR,20,507
12,506,0.07,RJ,SP,0.07,506
1026,505,15,PR,MG,15,505
1479,505,25,SP,PR,25,505
1480,505,25,SP,PR,25,505
1481,505,25,SP,PR,25,505
1482,505,25,SP,PR,25,505
1609,505,26,PR,MG,26,505
2214,505,4,PR,MG,4,505
2215,505,4,PR,MG,4,505
2216,505,4,PR,MG,4,505
665,504,10,PR,PR,10,504
1358,502,23,SP,RJ,23,502
1610,502,26,MG,PR,26,502
1944,502,35,PR,PR,35,502
115,500,0.4,MG,MG,0.4,500
1331,499,22,RJ,SP,22,499
1483,498,25,PR,SP,25,498
1484,498,25,PR,SP,25,498
1485,498,25,PR,SP,25,498
1486,498,25,PR,SP,25,498
1487,498,25,PR,SP,25,498
531,495,5,MG,SP,5,495
532,495,5,MG,SP,5,495
533,495,5,MG,SP,5,495
534,495,5,MG,SP,5,495
808,495,12,MG,SP,12,495
1396,495,23.5,RJ,SP,23.5,495
1647,494,27,PR,SP,27,494
1945,493,35,SP,PR,35,493
1200,492,20,MG,SP,20,492
1201,492,20,RJ,SP,20,492
1027,491,15,SP,SC,15,491
1738,490,30,SP,PR,30,490
1097,489,18,RJ,SP,18,489
1098,489,18,RJ,SP,18,489
1099,489,18,RJ,SP,18,489
1202,488,20,PR,PR,20,488
1739,488,30,SP,PR,30,488
566,480,6,SP,SP,6,480
1100,477,18,MG,MG,18,477
1101,477,18,MG,MG,18,477
1102,477,18,MG,MG,18,477
809,476,12,MG,SP,12,476
810,476,12,RJ,SP,12,476
811,476,12,RJ,SP,12,476
812,476,12,RJ,SP,12,476
1203,476,20,RJ,SP,20,476
1626,474,26.5,MG,SP,26.5,474
813,472,12,PR,SP,12,472
138,470,0.5,MG,SP,0.5,470
731,470,10.6,RJ,SP,10.6,470
1488,469,25,SP,SP,25,469
1893,469,32,SP,SP,32,469
639,466,7.5,SP,SP,7.5,466
640,466,7.5,SP,SP,7.5,466
641,466,7.5,SP,SP,7.5,466
642,466,7.5,SP,SP,7.5,466
888,465,12.4,SP,SP,12.4,465
567,464,6,PR,SP,6,464
1028,464,15,RJ,SP,15,464
61,461,0.2,SP,PR,0.2,461
2014,461,50,PR,SP,50,461
927,460,13.6,SP,SP,13.6,460
928,460,13.6,SP,SP,13.6,460
929,460,13.6,SP,SP,13.6,460
1740,460,30,SP,PR,30,460
733,458,10.7,PR,SP,10.7,458
1029,458,15,RJ,SP,15,458
1204,458,20,PR,SP,20,458
1946,458,35,MG,MG,35,458
1205,457,20,SP,SP,20,457
1206,457,20,RJ,SP,20,457
1207,457,20,RJ,SP,20,457
261,456,1.3,PR,SP,1.3,456
262,456,1.3,PR,SP,1.3,456
1489,455,25,SP,RJ,25,455
363,452,2,RJ,SP,2,452
1947,452,35,PR,SP,35,452
1068,451,16.9,RJ,SP,16.9,451
1069,451,16.9,RJ,SP,16.9,451
2202,451,24.3,SP,RJ,24.3,451
535,450,5,SP,RJ,5,450
79,449,0.27,MG,SP,0.27,449
536,449,5,RJ,SP,5,449
1332,448,22,SP,PR,22,448
1333,448,22,SP,PR,22,448
1403,448,24,SP,RJ,24,448
1208,447,20,SP,SP,20,447
1209,447,20,SP,GO,20,447
1334,446,22,SP,PR,22,446
1070,444,16.9,RJ,SP,16.9,444
651,443,7.9,SP,SP,7.9,443
652,443,7.9,SP,SP,7.9,443
653,443,7.9,SP,SP,7.9,443
654,443,7.9,SP,SP,7.9,443
965,443,14,RJ,MG,14,443
966,443,14,RJ,MG,14,443
967,443,14,RJ,MG,14,443
968,443,14,RJ,MG,14,443
666,442,10,RJ,SP,10,442
667,442,10,RJ,SP,10,442
668,442,10,RJ,SP,10,442
669,442,10,RJ,SP,10,442
814,441,12,SP,PR,12,441
815,441,12,SP,SP,12,441
816,441,12,SP,SP,12,441
1210,441,20,SP,SP,20,441
281,440,1.5,PR,PR,1.5,440
282,440,1.5,PR,PR,1.5,440
283,440,1.5,PR,PR,1.5,440
284,440,1.5,PR,PR,1.5,440
473,439,3.5,MG,RJ,3.5,439
1309,439,21,SP,SP,21,439
1310,439,21,SP,SP,21,439
1311,439,21,SP,SP,21,439
1312,439,21,SP,SP,21,439
1359,439,23,RJ,SP,23,439
1360,439,23,RJ,SP,23,439
900,437,13,SP,SP,13,437
1490,437,25,SP,RJ,25,437
1491,437,25,SP,RJ,25,437
1492,437,25,SP,RJ,25,437
1493,437,25,SP,RJ,25,437
1494,437,25,SP,RJ,25,437
1495,437,25,SP,RJ,25,437
1496,437,25,SP,RJ,25,437
568,436,6,SP,SP,6,436
615,435,6.8,RJ,SP,6.8,435
285,434,1.5,SP,SP,1.5,434
286,434,1.5,SP,SP,1.5,434
287,434,1.5,SP,SP,1.5,434
288,434,1.5,SP,SP,1.5,434
817,434,12,SC,SC,12,434
1211,434,20,PR,PR,20,434
670,433,10,SP,SP,10,433
671,433,10,SP,SP,10,433
672,433,10,SP,SP,10,433
673,433,10,SP,SP,10,433
674,433,10,SP,SP,10,433
1741,433,30,SP,PR,30,433
1335,432,22,RJ,SP,22,432
1336,432,22,RJ,SP,22,432
1337,432,22,RJ,SP,22,432
1338,432,22,RJ,SP,22,432
1339,432,22,RJ,SP,22,432
1611,432,26,SP,RJ,26,432
444,431,3,MG,MG,3,431
445,431,3,MG,MG,3,431
446,431,3,MG,MG,3,431
1497,431,25,MG,MG,25,431
818,428,12,RJ,SP,12,428
1212,428,20,PR,PR,20,428
1361,428,23,RJ,SP,23,428
1362,428,23,RJ,SP,23,428
1363,428,23,RJ,SP,23,428
1742,428,30,SP,PR,30,428
1743,427,30,PR,SP,30,427
23,426,0.094,SP,SP,0.094,426
24,426,0.094,SP,SP,0.094,426
1213,426,20,SP,MG,20,426
819,425,12,SP,PR,12,425
820,425,12,SP,PR,12,425
1214,425,20,PR,PR,20,425
1744,424,30,SP,PR,30,424
1215,423,20,PR,PR,20,423
1745,420,30,SP,PR,30,420
1746,420,30,SP,PR,30,420
51,415,0.17,RJ,SP,0.17,415
821,415,12,RJ,SP,12,415
1340,414,22,RJ,SP,22,414
1404,413,24,SP,SP,24,413
1747,413,30,SP,PR,30,413
13,412,0.07,RJ,SP,0.07,412
1364,412,23,RJ,SP,23,412
1365,412,23,RJ,SP,23,412
1366,412,23,RJ,SP,23,412
1367,412,23,RJ,SP,23,412
1368,412,23,RJ,SP,23,412
1369,412,23,RJ,SP,23,412
1370,412,23,RJ,SP,23,412
1216,408,20,SP,SP,20,408
1948,408,35,SP,PR,35,408
462,407,3.3,RJ,SP,3.3,407
463,407,3.3,RJ,SP,3.3,407
464,407,3.3,RJ,SP,3.3,407
465,407,3.3,RJ,SP,3.3,407
466,407,3.3,RJ,SP,3.3,407
822,407,12,SP,PR,12,407
1648,407,27,SP,SP,27,407
1748,407,30,SP,RJ,30,407
1749,407,30,SP,RJ,30,407
1750,407,30,SP,RJ,30,407
1751,407,30,SP,PR,30,407
1752,407,30,SP,PR,30,407
823,406,12,PR,SC,12,406
85,405,0.3,SP,SP,0.3,405
569,405,6,SP,SP,6,405
1217,405,20,SP,MG,20,405
1949,405,35,SC,PR,35,405
289,404,1.5,PR,SP,1.5,404
290,404,1.5,PR,SP,1.5,404
570,404,6,SP,SP,6,404
1498,404,25,RJ,SP,25,404
1499,404,25,SP,RJ,25,404
1218,403,20,PR,SP,20,403
630,402,7,SP,PR,7,402
631,402,7,SP,PR,7,402
1030,402,15,SP,PR,15,402
1031,402,15,SP,PR,15,402
1032,402,15,SP,PR,15,402
1500,401,25,PR,SP,25,401
675,400,10,SP,PR,10,400
1219,400,20,SP,PR,20,400
1220,400,20,SP,PR,20,400
1501,400,25,RJ,SP,25,400
752,399,11.7,SP,PR,11.7,399
1950,398,35,SP,PR,35,398
1405,397,24,SP,SP,24,397
1612,397,26,SP,SP,26,397
1613,397,26,SP,SP,26,397
34,396,0.1,MG,RJ,0.1,396
676,396,10,SP,PR,10,396
1221,395,20,SP,SP,20,395
1951,395,35,SP,PR,35,395
824,394,12,PR,SP,12,394
1222,394,20,SP,SP,20,394
1223,394,20,SP,SP,20,394
1952,393,35,SP,PR,35,393
901,392,13,SP,SP,13,392
902,392,13,SP,SP,13,392
903,392,13,SP,SP,13,392
904,392,13,SP,SP,13,392
1406,392,24,SP,SP,24,392
1407,392,24,SP,SP,24,392
1408,392,24,SP,SP,24,392
1409,392,24,SP,SP,24,392
1410,392,24,SP,SP,24,392
1614,392,26,SP,SP,26,392
1615,392,26,SP,SP,26,392
1616,392,26,SP,SP,26,392
969,391,14,RJ,MG,14,391
970,391,14,RJ,MG,14,391
2236,389,4.5,SP,RJ,4.5,389
2237,389,4.5,SP,RJ,4.5,389
2238,389,4.5,SP,RJ,4.5,389
716,387,10.1,RJ,SP,10.1,387
717,387,10.1,RJ,SP,10.1,387
718,387,10.1,RJ,SP,10.1,387
719,387,10.1,RJ,SP,10.1,387
720,387,10.1,RJ,SP,10.1,387
721,387,10.1,RJ,SP,10.1,387
722,387,10.1,RJ,SP,10.1,387
723,387,10.1,RJ,SP,10.1,387
747,387,11.6,RJ,SP,11.6,387
1080,387,17.4,RJ,SP,17.4,387
1081,387,17.4,RJ,SP,17.4,387
1086,387,17.8,RJ,SP,17.8,387
1087,387,17.9,RJ,SP,17.9,387
1325,387,21.2,RJ,SP,21.2,387
1326,387,21.2,RJ,SP,21.2,387
1327,387,21.4,RJ,SP,21.4,387
1606,387,25.5,RJ,SP,25.5,387
2204,387,24.8,RJ,SP,24.8,387
2205,387,24.8,RJ,SP,24.8,387
2206,387,24.8,RJ,SP,24.8,387
230,386,1,RJ,SP,1,386
474,386,3.5,MG,SP,3.5,386
1224,385,20,PR,PR,20,385
1675,384,29.1,SP,SP,29.1,384
1866,384,30.1,SP,SP,30.1,384
1225,383,20,SP,SP,20,383
1226,383,20,SP,SP,20,383
1227,383,20,SP,SP,20,383
1228,383,20,SP,SP,20,383
1953,382,35,GO,MG,35,382
971,381,14,MG,SP,14,381
972,381,14,MG,SP,14,381
1894,381,32,MG,SP,32,381
1502,380,25,SP,PR,25,380
748,378,11.6,SP,SP,11.6,378
749,378,11.6,SP,SP,11.6,378
750,378,11.6,SP,SP,11.6,378
751,378,11.6,SP,SP,11.6,378
1125,378,18.9,SP,SP,18.9,378
1411,378,24,MG,MG,24,378
1670,377,28.1,SP,SP,28.1,377
1671,377,28.1,SP,SP,28.1,377
877,371,12.1,SP,RJ,12.1,371
1412,368,24,SP,SP,24,368
825,365,12,SP,SP,12,365
1867,365,30.1,SP,SP,30.1,365
1868,365,30.1,SP,SP,30.1,365
1869,365,30.1,SP,SP,30.1,365
1870,365,30.1,SP,SP,30.1,365
447,363,3,SC,SC,3,363
1082,363,17.4,RJ,SP,17.4,363
1083,363,17.4,RJ,SP,17.4,363
1084,363,17.4,RJ,SP,17.4,363
905,360,13,SP,SP,13,360
1371,360,23,SP,SP,23,360
677,357,10,SP,SP,10,357
678,357,10,SP,SP,10,357
826,357,12,SP,SP,12,357
1503,354,25,SP,SP,25,354
1033,349,15,SP,SP,15,349
1034,349,15,SP,SP,15,349
1658,346,27.5,PR,SP,27.5,346
231,345,1,PR,PR,1,345
232,345,1,PR,PR,1,345
233,345,1,PR,PR,1,345
234,345,1,PR,PR,1,345
1229,344,20,PR,PR,20,344
162,343,0.6,SP,SP,0.6,343
163,343,0.6,SP,SP,0.6,343
164,343,0.6,SP,SP,0.6,343
165,343,0.6,SP,SP,0.6,343
827,343,12,SP,SP,12,343
828,343,12,SP,SP,12,343
1413,343,24,SP,SP,24,343
1504,343,25,RJ,SP,25,343
2015,341,50,MT,MT,50,341
2016,341,50,MT,MT,50,341
2017,341,50,MT,MT,50,341
39,340,0.12,BA,ES,0.12,340
127,338,0.45,SP,SP,0.45,338
1505,337,25,SP,RJ,25,337
1617,337,26,SP,RJ,26,337
435,332,2.9,SP,SP,2.9,332
436,332,2.9,SP,SP,2.9,332
437,332,2.9,SP,SP,2.9,332
438,332,2.9,SP,SP,2.9,332
679,332,10,RJ,SP,10,332
1506,331,25,SP,RJ,25,331
1507,331,25,SP,RJ,25,331
1508,331,25,SP,RJ,25,331
1509,331,25,SP,RJ,25,331
1510,331,25,SP,RJ,25,331
1511,331,25,SP,RJ,25,331
829,330,12,SP,SP,12,330
1663,330,28,SP,SP,28,330
1664,330,28,SP,SP,28,330
1665,330,28,SP,SP,28,330
878,329,12.1,SP,SP,12.1,329
1103,329,18,SP,SP,18,329
1895,327,32,PR,SP,32,327
571,326,6,SP,SP,6,326
830,326,12,SP,SP,12,326
831,326,12,SP,SP,12,326
832,326,12,SP,SP,12,326
973,326,14,SP,SP,14,326
1230,326,20,SP,SP,20,326
1231,326,20,SP,SP,20,326
833,325,12,SP,SP,12,325
725,321,10.3,SP,SP,10.3,321
1954,321,35,SC,PR,35,321
753,320,11.7,SP,SP,11.7,320
1955,320,35,SP,SP,35,320
1313,318,21,SP,SP,21,318
1104,314,18,MG,SP,18,314
1896,313,32,RJ,RJ,32,313
1897,313,32,RJ,RJ,32,313
1618,312,26,SP,SP,26,312
1619,312,26,SP,SP,26,312
834,307,12,SP,SP,12,307
835,307,12,SP,SP,12,307
836,307,12,SP,SP,12,307
924,306,13.3,SP,SP,13.3,306
1414,306,24,SP,SP,24,306
1512,304,25,RJ,RJ,25,304
643,303,7.5,SP,SP,7.5,303
644,303,7.5,SP,SP,7.5,303
645,303,7.5,SP,SP,7.5,303
646,303,7.5,SP,SP,7.5,303
1513,303,25,SP,SP,25,303
837,301,12,ES,RJ,12,301
1328,297,21.5,SP,RJ,21.5,297
1514,297,25,SP,RJ,25,297
1515,297,25,SP,RJ,25,297
1516,297,25,SP,RJ,25,297
1517,297,25,SP,RJ,25,297
1518,297,25,SP,RJ,25,297
1519,297,25,SP,RJ,25,297
1520,297,25,SP,RJ,25,297
113,293,0.395,MG,SP,0.395,293
176,293,0.7,SP,SP,0.7,293
154,292,0.56,SP,RJ,0.56,292
1105,292,18,SP,RJ,18,292
1521,291,25,MG,MG,25,291
386,290,2.5,RJ,RJ,2.5,290
387,290,2.5,RJ,RJ,2.5,290
388,290,2.5,RJ,RJ,2.5,290
389,290,2.5,RJ,RJ,2.5,290
1232,290,20,PR,PR,20,290
1233,290,20,PR,PR,20,290
1234,290,20,PR,PR,20,290
1235,290,20,PR,PR,20,290
726,287,10.3,SP,SP,10.3,287
86,285,0.3,MG,SP,0.3,285
1956,285,35,MG,MG,35,285
1522,284,25,SP,RJ,25,284
1523,284,25,SP,RJ,25,284
1524,284,25,SP,RJ,25,284
145,283,0.51,SP,SP,0.51,283
364,280,2,GO,GO,2,280
256,279,1.2,MG,MG,1.2,279
235,276,1,SP,SP,1,276
838,273,12,SP,SP,12,273
1106,273,18,MG,SP,18,273
1415,271,24,SP,RJ,24,271
1416,271,24,SP,RJ,24,271
1417,271,24,SP,RJ,24,271
1418,271,24,SP,RJ,24,271
1525,271,25,SP,RJ,25,271
1526,271,25,SP,RJ,25,271
1527,271,25,SP,RJ,25,271
1528,271,25,SP,RJ,25,271
1666,271,28,SP,RJ,28,271
53,270,0.175,RJ,SP,0.175,270
54,270,0.175,RJ,SP,0.175,270
649,268,7.6,SP,SP,7.6,268
1236,268,20,MG,SP,20,268
925,267,13.3,SP,SP,13.3,267
680,262,10,MG,MG,10,262
681,262,10,MG,MG,10,262
682,262,10,MG,MG,10,262
683,262,10,MG,MG,10,262
839,257,12,SP,SP,12,257
1419,257,24,SP,MG,24,257
1529,256,25,SP,RJ,25,256
1530,256,25,SP,RJ,25,256
1957,255,35,PR,SC,35,255
2217,252,4,MG,SP,4,252
1531,251,25,SP,RJ,25,251
1532,251,25,SP,RJ,25,251
1533,251,25,SP,RJ,25,251
1534,251,25,SP,RJ,25,251
732,248,10.6,SP,SP,10.6,248
1002,248,14.2,SP,SP,14.2,248
1003,248,14.2,SP,SP,14.2,248
1004,248,14.2,SP,SP,14.2,248
1005,248,14.2,SP,SP,14.2,248
1237,248,20,SP,SP,20,248
236,247,1,PR,PR,1,247
237,247,1,PR,PR,1,247
238,247,1,PR,PR,1,247
239,247,1,PR,PR,1,247
1535,246,25,SP,SP,25,246
930,245,13.9,MG,MG,13.9,245
146,243,0.51,SP,SP,0.51,243
840,243,12,SC,PR,12,243
1536,243,25,SP,RJ,25,243
1537,243,25,SP,RJ,25,243
1538,243,25,SP,RJ,25,243
1539,243,25,SP,RJ,25,243
1753,243,30,SP,RJ,30,243
572,242,6,SP,SP,6,242
1649,241,27,MG,MG,27,241
1420,240,24,SP,MG,24,240
1965,238,37,PR,PR,37,238
1966,238,37,PR,PR,37,238
1967,238,37,PR,PR,37,238
1968,238,37,PR,PR,37,238
1969,238,37,PR,PR,37,238
1970,238,37,PR,PR,37,238
1971,238,37,PR,PR,37,238
1972,238,37,PR,PR,37,238
1973,238,37,PR,PR,37,238
1974,238,37,PR,PR,37,238
1975,238,37,PR,PR,37,238
1659,236,27.5,SP,SP,27.5,236
116,232,0.4,MG,DF,0.4,232
117,232,0.4,MG,DF,0.4,232
118,232,0.4,MG,DF,0.4,232
1035,229,15,SP,SP,15,229
1650,228,27,SP,SP,27,228
1651,228,27,SP,SP,27,228
1652,228,27,SP,SP,27,228
895,226,12.7,SP,SP,12.7,226
896,226,12.7,SP,SP,12.7,226
573,223,6,SP,SP,6,223
607,218,6.5,SP,SP,6.5,218
2218,214,4,MT,MT,4,214
1372,205,23,MG,SP,23,205
1373,205,23,MG,SP,23,205
1374,205,23,MG,SP,23,205
841,204,12,SP,SP,12,204
842,204,12,SP,SP,12,204
647,199,7.5,SP,SP,7.5,199
906,197,13,SP,MG,13,197
907,197,13,SP,MG,13,197
894,195,12.6,SP,SP,12.6,195
897,195,12.8,SP,SP,12.8,195
743,193,11.5,SP,SP,11.5,193
744,193,11.5,SP,SP,11.5,193
1238,193,20,SP,SP,20,193
1421,193,24,SP,MG,24,193
730,192,10.5,SP,SP,10.5,192
1239,191,20,SP,SP,20,191
1375,191,23,SP,SP,23,191
1376,191,23,SP,SP,23,191
537,190,5,SP,SP,5,190
1540,189,25,SP,SP,25,189
1541,188,25,SP,SP,25,188
1036,186,15,SP,SP,15,186
1056,186,15.9,SP,SP,15.9,186
1674,185,29,SP,SP,29,185
1976,185,37,PR,PR,37,185
1977,185,37,PR,PR,37,185
1978,185,37,PR,PR,37,185
1979,185,37,PR,PR,37,185
1980,185,37,PR,PR,37,185
684,180,10,SP,SP,10,180
685,180,10,SP,SP,10,180
686,180,10,SP,SP,10,180
1981,180,37,PR,PR,37,180
1982,180,37,PR,PR,37,180
1983,180,37,PR,PR,37,180
1984,180,37,PR,PR,37,180
1985,180,37,PR,PR,37,180
390,178,2.5,RJ,RJ,2.5,178
1542,178,25,SP,SP,25,178
974,177,14,SP,SP,14,177
1354,177,22.1,SP,SP,22.1,177
687,176,10,SP,SP,10,176
1240,176,20,SP,MG,20,176
1314,174,21,SP,SP,21,174
1754,174,30,SP,SP,30,174
688,173,10,SP,SP,10,173
